               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.026972,            0.005718,           0.0029551,             0.99248,             0.97605,             0.97284,             0.72696,            0.037363,           0.0037401,           0.0095187,           0.0095777,           0.0095777,           0.0095777
                 141,            0.028447,           0.0057391,           0.0025661,             0.99299,             0.97379,             0.97284,             0.71911,            0.031939,           0.0036641,           0.0086494,           0.0095717,           0.0095717,           0.0095717
                 142,            0.027088,           0.0055162,           0.0035929,             0.99585,             0.97619,             0.97284,             0.77838,            0.030925,           0.0037175,            0.007909,           0.0095657,           0.0095657,           0.0095657
                 143,            0.027043,           0.0059413,           0.0028912,             0.98179,             0.96246,             0.97283,             0.64423,            0.033794,           0.0036946,           0.0086162,           0.0095596,           0.0095596,           0.0095596
                 144,            0.029519,           0.0057704,             0.00318,             0.90956,             0.97619,             0.97285,             0.74783,            0.033187,           0.0034993,           0.0086558,           0.0095535,           0.0095535,           0.0095535
                 145,            0.029667,           0.0053258,           0.0028462,             0.97395,             0.97619,             0.97292,             0.79576,            0.031856,           0.0034152,            0.008537,           0.0095473,           0.0095473,           0.0095473
                 146,            0.027224,           0.0061668,           0.0027577,             0.97273,             0.97619,             0.97295,             0.82494,            0.032865,           0.0033837,           0.0083626,           0.0095411,           0.0095411,           0.0095411
                 147,            0.026313,           0.0059337,           0.0024567,              0.9784,             0.97619,             0.97296,             0.75784,            0.036345,           0.0033108,           0.0083352,           0.0095349,           0.0095349,           0.0095349
                 148,            0.025258,           0.0060261,           0.0023484,             0.98018,             0.97619,             0.97295,             0.82925,             0.03272,           0.0033627,           0.0083521,           0.0095286,           0.0095286,           0.0095286
                 149,            0.027814,           0.0056173,           0.0024376,             0.93878,             0.97563,             0.97293,             0.74218,            0.034211,           0.0035114,           0.0086457,           0.0095223,           0.0095223,           0.0095223
                 150,            0.027253,           0.0060779,           0.0024448,             0.94475,              0.9756,             0.97293,             0.75968,            0.036557,           0.0035893,           0.0090632,           0.0095159,           0.0095159,           0.0095159
                 151,             0.02376,           0.0054834,           0.0025875,             0.80085,             0.97619,             0.97291,             0.78234,            0.041169,           0.0035304,           0.0089849,           0.0095095,           0.0095095,           0.0095095
